shot,t_geo,A,kappa,delta_lower,delta_upper,q95,fwd_freq_hz,seed_time_to_next,signal_ok
129015,0.409,1.343129040327683,1.8625294111083808,0.515452731107545,0.4591055693580889,8.986414485999997,55.41872373543503,0.0065999925136566,True
129038,0.4,1.3265580624266715,1.8590448972331863,0.4652109867243161,0.5015412387875489,8.678140631999998,0.0,,False
129038,0.525,1.3235639548441256,1.828982454484337,0.4259298823265293,0.4730637702696354,8.280083307999998,0.0,,False
129038,0.65,1.3388425618584705,1.830727332837324,0.4339548382287868,0.481762361081336,8.157030973999998,0.0,,False
132543,0.7000000000000001,1.3783618938592344,2.1019764928520748,0.7107551581548158,0.3653662236175581,7.539626325999998,27.00878100075769,0.0248000025749206,True
132588,0.65,1.424695333622258,2.190829235282389,0.7883941774944359,0.3892717059642846,8.035393761999998,36.33314873328629,0.1650000214576721,True
139057,0.557,1.4086953301295289,2.2509890175617526,0.6818335255940914,0.422667469082833,9.600480849999997,46.80188084844419,0.0548000335693359,True
141300,0.501,1.4413027886740135,1.92679734194826,0.4627103634388984,0.3571583533776132,7.0588343559999975,24.911031563474875,0.0008000135421752,True
141309,0.505,1.427828812166456,2.0582523671041155,0.4607219991922656,0.4726097558812713,7.003353263999998,61.66983293269472,0.0382000207901001,True
