shot,gfile,t_geo,R0,a,A,eps,kappa,delta_upper,delta_lower,delta,q0,qmin,q95,q_edge,betap0,Ip,Rcentr,fs_file
129015,g129015.00409_450,0.40900000000000003,0.8280383394976224,0.6164994685064705,1.343129040327683,0.7445301009618779,1.8625294111083812,0.45910556935808894,0.515452731107545,0.4872791502328169,1.2,1.2,8.986414485999997,16.7631543,0.5,753908.3021880283,0.86,129015_409.npz
129038,g129038.00400,0.4,0.8225497218551069,0.6200631130690332,1.3265580624266717,0.7538305546692021,1.8590448972331866,0.5015412387875489,0.46521098672431616,0.4833761127559325,1.26013038,1.26013038,8.678140631999998,16.5906051,0.5,744390.4999999992,0.8500000238418579,129038_400.npz
129038,g129038_525_ave.p1j0.9,0.525,0.8221209509434955,0.6211418405091846,1.3235639548441256,0.75553583666289,1.828982454484337,0.4730637702696354,0.4259298823265293,0.44949682629808235,1.37580294,1.26164675,8.280083307999998,16.4822548,0.5,734559.9374999991,0.8500000238418579,129038_525.npz
129038,g129038_650_ave.p1j1,0.65,0.8252266491402824,0.6163731813207156,1.3388425618584705,0.7469138108456029,1.830727332837324,0.481762361081336,0.43395483822878683,0.4578585996550614,1.33545347,1.29819482,8.157030973999998,15.6670896,0.5,730802.0000000005,0.8500000238418579,129038_650.npz
132543,g132543.00700,0.7000000000000001,0.832565437919303,0.6040252865582549,1.3783618938592344,0.7254988725784705,2.1019764928520748,0.3653662236175581,0.7107551581548158,0.538060690886187,0.957970769,0.957970769,7.539626325999998,17.0377544,0.5,947061.7891021083,0.86,132543_700.npz
132588,g132588.00650,0.65,0.8419118841549901,0.59094170120881,1.4246953336222579,0.701904453815765,2.190829235282389,0.3892717059642846,0.7883941774944359,0.5888329417293602,1.53008457,1.53008457,8.035393761999998,17.0578899,0.5,983334.7495579941,0.86,132588_650.npz
139057,g139057.00557,0.557,0.8502739762164775,0.6035896890055674,1.4086953301295289,0.7098767054960354,2.2509890175617526,0.422667469082833,0.6818335255940914,0.5522504973384621,1.05,1.05,9.600480849999997,21.4108076,0.5,907247.2337404315,0.86,139057_557.npz
141300,g141300.00501,0.501,0.8579029468171524,0.5952274244930975,1.4413027886740137,0.6938167384800465,1.9267973419482596,0.35715835337761326,0.4627103634388984,0.4099343584082558,1.05027861,1.05027861,7.0588343559999975,13.7639926,0.5,636535.0000000012,0.8600001,141300_501.npz
141309,g141309.00505,0.505,0.8594322811085112,0.6019154913987818,1.427828812166456,0.7003640712941575,2.0582523671041155,0.47260975588127135,0.4607219991922656,0.46666587753676847,1.05,1.05,7.003353263999998,15.0731718,0.5,694175.7616148308,0.86,141309_505.npz
